Circumstances,Target
en route cheyenne salt lake city oil pressure dropped engine temperature increased revolution per minute dropped plane crashed mountain side near telephone canyon pilot injured,73
crew performing mail flight casablanca encountered unfavorable weather condition approaching gibraltar aircraft went control crashed sea sar operation suspended day trace aircraft crew found crew presumed dead crew henri mrel pilot maxime garrigue mechanic,33
crew performing flight gdansk berlin en route weather condition worsened fog snow fall pilot lost control airplane crashed snow covered field located lebork km northwest gdansk aircraft destroyed occupant killed crew emil monz pilot oskar kretschmar mechanic,33
crew completing local training flight rio de janeiro seaplane crashed unknown circumstance guanabara bay pilot seriously injured aircraft sank six day later one crew member died injury crew st lt fernando muniz guimares lt fernando victor amaral savaget,51
pilot eversole jumped plane parachute takeoff minneapoliswold chamberlain field aircraft entered dive crashed mendota pilot unhurt airplane destroyed,73
lieutenant william gordon performing training flight camp borden toronto minute takeoff proceeding east encountered engine problem elected make emergency landing iced lake simcoe upon landing aircraft hit ridge came rest undercarriage torn pilot uninjured aircraft damaged beyond repair,58
pilot sole board completing local training flight baghdad en route engine failed pilot elected make emergency landing aircraft crashed tigre river near district karrada baghdad pilot injured aircraft damaged beyond repair,59
crashed unknown circumstance saint edward college austin crew fate unknown,50
shortly takeoff elko airport initial climb aircraft stalled crashed bursting flame pilot sole aboard killed,23
crew performing training flight behalf st aviation observation regiment aaccident occurred unknown circumstance lieutenant james seriously injured lieutenant serrant killed,40
crew completing local training flight farnborough airport hampshire approach airplane went control crashed cove north airfield one crew member killed second slightly injured crew fo william leslie gordon spinney fo allan hesketh,19
shortly takeoff croydon airport cargo flight brussels aircraft stalled crashed open field pilot slightly injured aircraft destroyed,67
pilot sole board engaged test flight first prototype equipped nine wing eight engine flight first test aircraft built day earlier takeoff lake maggiore climbing height meter foot eaplane stalled crashed lake pilot captain semprini slightly injured aircraft destroyed project later abandoned,68
pilot sole board departed raf martlesham heath local test flight en route flying relative low altitude aircraft stalled entered uncontrolled descent crashing open field located hasketon suffolk pilot fo harold william gardner killed,18
crew departed biggin hill local test flight behalf instrument design establishment cruising height foot engine failed pilotincommand able dive airplane restart engine failed second later aircraft entered uncontrolled descent crashed field one occupant killed instently second badly injured died injury evening crew fo noel butler hemsley edward fenton terry,15
pilot sole board completing local training flight fort sillhenry post field engine failed inflight forcing pilot attempt emergency landing aircraft damaged beyond repair pilot escaped uninjured,57
crew performing training flight point cook shortly takeoff climbing altitude foot aircraft dove ground crashed bursting flame one pilot killed instantly second one died hour later first accident involving aircraft royal australian air force officially founded week ago march crew lt james fryersmith pilot cpl bertie w whicker mechanic,19
shortly takeoff cricklewood aerodrome regular schedule flight parisle bourget aircraft crashed unknown circumstance occupant injured aircraft destroyed,42
flight basra baghdad weather condition deteriorared poor visibility due sandstorm pilot attempted emergency landing aircraft crashed came rest upside drainage ditch occupant injured crew fo h w baggs passenger maj gen w e ironside,73
crashed final approach parisle bourget airport following uneventful flight brussels aircraft destroyed pilot injured aircraft officially registered belgium caa day prior accident,66
